Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
LOS ANGELES VALLEY COLLEGE4401,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Enr,4,,,3,,,,
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,App,305,22,6,101,34,124,,3
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Adm,217,9,6,72,25,92,,
LOS ANGELES VALLEY COLLEGE5546,LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,Enr,157,8,5,54,16,65,,
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,App,142,17,1,45,27,42,,6
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,Adm,111,10,,37,23,31,,5
LOS MEDANOS COLLEGE4396,LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,Enr,88,9,,29,19,22,,4
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,App,23,,2,6,,14,,
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,Adm,20,,,5,,12,,
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,Enr,18,,,3,,12,,
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,App,119,5,1,43,21,33,,6
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,Adm,80,3,,29,10,23,,5
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,Enr,58,,,24,4,18,,3
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,App,59,23,,17,6,11,,
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,Adm,35,13,,11,5,5,,
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,Enr,29,9,,11,5,3,,
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,App,449,21,11,98,55,233,15,16
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,Adm,317,13,8,68,38,166,12,12
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,Enr,243,9,6,49,34,124,,11
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,App,137,10,,20,82,17,,6
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,Adm,104,9,,14,62,14,,5
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,Enr,81,8,,8,50,11,,4
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,App,146,6,2,52,15,63,5,3
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,Adm,95,,,32,12,40,,
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,Enr,77,,,24,10,34,,
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,App,128,5,3,34,20,52,,4
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,Adm,88,5,,23,10,36,,4
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,Enr,59,3,,17,6,23,,4
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,App,601,14,14,116,96,329,,5
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,Adm,409,6,11,73,67,230,,5
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,Enr,308,6,9,50,52,171,16,4
MORENO VALLEY COLLEGE6512,MORENO VALLEY COLLEGE,Moreno Valley,Riverside,App,102,5,,55,13,25,,
MORENO VALLEY COLLEGE6512,MORENO VALLEY COLLEGE,Moreno Valley,Riverside,Adm,59,4,,27,8,18,,
MORENO VALLEY COLLEGE6512,MORENO VALLEY COLLEGE,Moreno Valley,Riverside,Enr,45,3,,18,6,17,,
MOUNT SAN JACINTO COLLEGE4501,MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,App,229,11,4,85,33,84,,
MOUNT SAN JACINTO COLLEGE4501,MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,Adm,175,11,3,67,21,64,9,
MOUNT SAN JACINTO COLLEGE4501,MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,Enr,132,10,,51,15,48,,
