Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,Adm,6,,,3,,3,,
MENDOCINO COLLEGE4517,MENDOCINO COLLEGE,Ukiah,Mendocino,Enr,,,,,,,,
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,App,32,1,,18,6,3,3,1
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,Adm,12,,,6,,,3,
MERCED COLLEGE4500,MERCED COLLEGE,Merced,Merced,Enr,,,,,,,,
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,App,19,6,,5,3,2,,3
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,Adm,10,3,,3,,,,3
MERRITT COLLEGE4502,MERRITT COLLEGE,Oakland,Alameda,Enr,,,,,,,,
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,App,455,15,3,122,77,192,,28
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,Adm,325,6,,80,60,139,,23
MIRACOSTA COLLEGE4582,MIRACOSTA COLLEGE,Oceanside,San Diego,Enr,160,3,,38,29,68,,10
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,App,56,,,9,36,6,2,3
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,Adm,26,,,3,17,,,3
MISSION COLLEGE7587,MISSION COLLEGE,Santa Clara,Santa Clara,Enr,7,,,,5,,,
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,App,49,2,,23,11,13,,
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,Adm,23,,,11,5,6,,
MODESTO JUNIOR COLLEGE4486,MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,Enr,6,,,3,,,,
